Date,Open,High,Low,Close
1989-09-11,61.09,61.09,61.09,61.09
1989-09-11,61.52,61.52,61.52,61.52
1989-09-11,60.2,60.2,60.2,60.2
1989-09-11,60.89,60.89,60.89,60.89
1989-09-11,60.86,60.86,60.86,60.86
1989-09-11,60.8,60.8,60.8,60.8
1989-09-11,59.53,59.53,59.53,59.53
1989-09-11,59.93,59.93,59.93,59.93
1989-09-11,59.45,59.45,59.45,59.45
1989-09-11,59.3,59.3,59.3,59.3
1989-09-11,59.43,59.43,59.43,59.43
1989-09-11,58.59,58.59,58.59,58.59
1989-09-11,58.23,58.23,58.23,58.23
1989-09-11,58.18,58.18,58.18,58.18
1989-09-11,58.46,58.46,58.46,58.46
1989-09-11,57.84,57.84,57.84,57.84
1989-09-11,56.56,56.56,56.56,56.56
1989-09-11,56.57,56.57,56.57,56.57
1989-09-11,55.09,55.09,55.09,55.09
1989-09-11,55.92,55.92,55.92,55.92
1989-09-11,55.54,55.54,55.54,55.54
1989-09-11,54.86,54.86,54.86,54.86
1989-09-11,55.66,55.66,55.66,55.66
1989-09-11,57.5,57.5,57.5,57.5
1989-09-11,58.15,58.15,58.15,58.15
1989-09-11,56.69,56.69,56.69,56.69
1989-09-11,56.74,56.74,56.74,56.74
1989-09-11,56.51,56.51,56.51,56.51
1989-09-11,56.61,56.61,56.61,56.61
1989-09-11,54.43,54.43,54.43,54.43
1989-09-11,53.41,53.41,53.41,53.41
1989-09-11,52.37,52.37,52.37,52.37
1989-09-11,53.61,53.61,53.61,53.61
1989-09-11,54.22,54.22,54.22,54.22
1989-09-11,53.26,53.26,53.26,53.26
1989-09-11,52.89,52.89,52.89,52.89
1989-09-11,54.53,54.53,54.53,54.53
1989-09-11,56.12,56.12,56.12,56.12
1989-09-11,57.08,57.08,57.08,57.08
1989-09-11,56.56,56.56,56.56,56.56
1989-09-11,56.25,56.25,56.25,56.25
1989-09-11,55.56,55.56,55.56,55.56
1989-09-11,54.12,54.12,54.12,54.12
1989-09-11,53.52,53.52,53.52,53.52
1989-09-11,53.49,53.49,53.49,53.49
1989-09-11,53.75,53.75,53.75,53.75
1989-09-11,54.0,54.0,54.0,54.0
1989-09-11,54.97,54.97,54.97,54.97
1989-09-11,55.79,55.79,55.79,55.79
1989-09-11,55.4,55.4,55.4,55.4
1989-09-11,54.33,54.33,54.33,54.33
1989-09-11,54.56,54.56,54.56,54.56
1989-09-11,55.9,55.9,55.9,55.9
1989-09-11,57.46,57.46,57.46,57.46
1989-09-11,57.85,57.85,57.85,57.85
1989-09-11,58.83,58.83,58.83,58.83
1989-09-11,57.92,57.92,57.92,57.92
1989-09-11,57.91,57.91,57.91,57.91
1989-09-11,58.59,58.59,58.59,58.59
1989-09-11,57.89,57.89,57.89,57.89
1989-09-11,57.79,57.79,57.79,57.79
1989-09-11,57.56,57.56,57.56,57.56
1989-09-11,57.95,57.95,57.95,57.95
1989-09-11,58.28,58.28,58.28,58.28
1989-09-11,58.42,58.42,58.42,58.42
1989-09-11,58.12,58.12,58.12,58.12
1989-09-11,59.0,59.0,59.0,59.0
1989-09-11,59.95,59.95,59.95,59.95
1989-09-11,60.23,60.23,60.23,60.23
1989-09-11,61.04,61.04,61.04,61.04
1989-09-11,61.3,61.3,61.3,61.3
1989-09-11,60.62,60.62,60.62,60.62
1989-09-11,60.84,60.84,60.84,60.84
1989-09-11,60.22,60.22,60.22,60.22
1989-09-11,61.11,61.11,61.11,61.11
1989-09-11,60.75,60.75,60.75,60.75
1989-09-11,59.89,59.89,59.89,59.89
1989-09-11,59.74,59.74,59.74,59.74
1989-09-11,60.93,60.93,60.93,60.93
1989-09-11,61.04,61.04,61.04,61.04
1989-09-11,60.84,60.84,60.84,60.84
1989-09-11,61.41,61.41,61.41,61.41
1989-09-11,60.86,60.86,60.86,60.86
1989-09-11,60.8,60.8,60.8,60.8
1989-09-11,60.17,60.17,60.17,60.17
1989-09-11,60.28,60.28,60.28,60.28
1989-09-11,60.57,60.57,60.57,60.57
1989-09-11,60.25,60.25,60.25,60.25
1989-09-11,59.69,59.69,59.69,59.69
1989-09-11,59.57,59.57,59.57,59.57
1989-09-11,58.23,58.23,58.23,58.23
1989-09-11,57.99,57.99,57.99,57.99
1989-09-11,57.39,57.39,57.39,57.39
1989-09-11,58.13,58.13,58.13,58.13
1989-09-11,58.44,58.44,58.44,58.44
1989-09-11,57.57,57.57,57.57,57.57
1989-09-11,58.0,58.0,58.0,58.0
1989-09-11,59.0,59.0,59.0,59.0
1989-09-11,61.85,61.85,61.85,61.85
1989-09-11,62.79,62.79,62.79,62.79
1989-09-11,62.23,62.23,62.23,62.23
