date,spx_close,hlth_close,cons_close,cond_close,enrs_close,finl_close,indu_close,inft_close,matr_close,rlst_close,tels_close,util_close,daily_new_cases,daily_new_deaths
2020-06-19,3097.74,1169.95,606.01,1039.827,296.4,396.68,582.81,1793.72,351.93,218.11,183.56,288.92,35063,723
2020-06-22,3117.86,1165.74,604.38,1051.292,298.27,394.78,583.95,1828.33,353.33,217.56,184.51,292.8,32220,418
2020-06-23,3131.29,1170.83,603.54,1062.227,298.5,396.43,583.95,1841.13,354.07,216.79,185.65,289.7,38161,869
2020-06-24,3050.33,1139.72,593.62,1041.213,281.97,382.51,563.44,1798.92,343.64,211.03,181.1,286.98,40770,854
2020-06-25,3083.76,1151.43,598.04,1044.401,287.39,392.86,569.72,1822.34,348.1,213.32,182.14,283.48,42303,668
2020-06-26,3009.05,1137.38,585.69,1020.026,277.3,375.84,559.4,1785.68,343.27,209.45,173.97,280.56,48646,688
2020-06-29,3053.24,1147.05,596.52,1033.561,281.26,379.56,577.25,1805.46,349.84,213,177.53,285.79,42962,420
2020-06-30,3100.29,1167.81,601.33,1051.417,287.46,385.49,581,1840.1,354.83,216.39,179.88,286.96,51208,696
2020-07-01,3115.86,1176.09,601.63,1069.877,280.3,381.5,578.19,1842.03,355.52,221.96,183.9,293.53,54627,689
2020-07-02,3130.01,1184.43,604.43,1074.074,283.46,381.75,582.8,1851.33,362.11,221.21,183.78,294.2,60598,664
2020-07-06,3179.72,1196.34,607.63,1108.598,284.51,389.19,591.44,1884.7,367.41,221.59,187.73,290.44,52258,481
2020-07-07,3145.32,1186.07,613.74,1089.491,275.46,381.12,579.97,1864.78,367.35,218.04,187.03,289.43,60201,1034
2020-07-08,3169.94,1186.27,612.46,1106.192,275.17,385.14,579.78,1894.65,361.99,217.69,188.77,292.01,65801,972
2020-07-09,3152.05,1176.56,607.85,1114.731,261.81,376.87,567.38,1901.82,358.61,216.96,188.7,288.19,65065,1032
2020-07-10,3185.04,1173.97,619.33,1125.916,270.32,389.97,574.69,1901.29,364.88,217.32,192.39,293.66,74331,928
2020-07-13,3155.22,1180.18,617.88,1106.464,268.87,391.22,577.09,1860.99,364.83,213.77,188.61,293.78,62965,594
2020-07-14,3197.52,1203.28,627.32,1113.072,278.56,393.95,589.67,1883.27,374.1,215.85,190.31,296.64,71190,990
2020-07-15,3226.56,1219.14,627.39,1118.237,284.02,401.47,604.71,1893.25,380.33,216.95,190.86,295.34,75296,1079
2020-07-16,3215.57,1217.06,628.77,1115.198,282.57,401.26,604.74,1870.12,381.69,214.37,191.43,299.25,75132,1042
2020-07-17,3224.73,1233.67,631.38,1107.707,278.27,397.87,608.04,1879.14,384.72,217.37,190.61,306.08,76745,1043
2020-07-20,3251.84,1233.55,625.3,1142.473,273.46,396.4,601.01,1927.66,381.48,215.19,192.99,301.92,59392,700
2020-07-21,3257.3,1232.87,631.43,1138.339,290.28,403.96,608.86,1907.19,384.73,215.21,192.2,303.32,71488,1259
2020-07-22,3276.02,1243.35,636.28,1142.067,286.39,403.61,613.87,1922.98,389.05,217.89,192.28,307.97,74287,1311
2020-07-23,3235.66,1238.28,637.44,1118.87,285.79,404.33,611.76,1872.42,388.02,216.82,188.54,308.32,71183,1201
2020-07-24,3215.63,1224.52,636.52,1122.553,284.11,402.85,606.87,1850.22,386.76,215.96,188.43,306.37,80030,1332
2020-07-27,3239.41,1233.39,639.98,1132.306,284.71,399.58,609.26,1880.04,392.23,218.37,189.9,302.52,58584,944
2020-07-28,3218.44,1231.63,641.87,1118.412,279.73,398.45,605.24,1857.09,383.66,222.85,188.15,307.22,69147,1441
2020-07-29,3258.44,1244.95,642.86,1130.213,285.7,406.48,614.28,1884.94,386.94,227.07,189.62,308.56,68607,1427
2020-07-30,3246.22,1235.39,642.89,1131.367,273.99,399.02,608.33,1894.95,379.34,225.18,190.22,308.5,70807,1398
2020-07-31,3271.12,1228.58,642.01,1145.811,272.09,399.06,605.88,1942.39,379.77,224.82,191.69,309.12,73932,1381
2020-08-03,3294.61,1241.39,640.4,1139.533,272.81,399.83,608.31,1990.72,377.34,221.52,191.64,305.6,47887,773
2020-08-04,3306.51,1235.79,649.09,1148.913,279.51,398.07,609.97,1995.05,382.36,224.53,192.29,308.88,57829,1376
2020-08-05,3327.77,1241.86,647.64,1165.043,282.46,403.89,621.97,2002.02,388.22,223.1,192.77,305.02,57525,1347
2020-08-06,3349.16,1234.73,647.75,1170.85,280.45,403.29,623.94,2031.17,386.57,223.31,197.49,306.6,59878,1372
2020-08-07,3351.28,1239.1,651.18,1167.406,280.59,412.08,634.74,1999.46,388.01,226.33,197.39,312.12,63913,1407
2020-08-10,3360.47,1234.88,654.13,1175.399,289.24,414.73,650.15,1992.87,391.86,225.96,196.49,311.82,47898,678
2020-08-11,3333.69,1226.88,649.53,1167.93,288.55,420.12,653.59,1957.33,391.16,221.74,193.93,305.17,57630,1398
2020-08-12,3380.35,1247.96,658.21,1187.443,290.07,418.9,655.94,2002.61,393.64,224.67,196.35,309.61,57335,1432
2020-08-13,3373.43,1245.9,656.96,1186.763,284.31,416.33,651.68,2003.46,393.35,221.91,197.09,308.43,55180,1346
2020-08-14,3372.85,1243.21,656.81,1185.617,286.99,417.39,654.39,2001.52,393.93,222.22,196.89,305.62,62427,1158
2020-08-17,3381.99,1250.47,660.5,1199.92,285.18,410.98,651.15,2014.98,395.41,224.2,197.08,305.18,40208,655
2020-08-18,3389.78,1250.04,662.85,1217.439,280.29,408.22,647.64,2022.92,393.98,223.86,199.24,303.69,46799,1311
2020-08-19,3374.85,1245.63,657.98,1208.706,277.05,407.91,645.8,2017.41,392.72,219.35,198.34,302.73,46476,1278
2020-08-20,3385.51,1242.04,656.31,1210.445,271.15,404.26,642.7,2046.41,391.06,221.72,201.06,300.05,46889,1152
2020-08-21,3397.16,1243.13,658.05,1214.268,269.45,403.18,644.59,2071.21,388.97,222.26,200.3,300.44,52822,1205
2020-08-24,3431.28,1236.45,663.58,1230.037,276.87,412.53,656.15,2089.28,395.67,222.8,202.42,303.24,38988,573
2020-08-25,3443.62,1245.11,662.73,1236.555,272.94,413.65,655.54,2100.18,394.39,223.48,204.38,300.45,44320,1170
2020-08-26,3478.73,1243.59,663.41,1254.671,266.85,411.67,655.85,2143.23,398.23,221.82,211.97,296.83,44678,1282
2020-08-27,3484.55,1253.32,667.47,1245.666,267.52,418.84,658,2143.83,397.28,224.86,209.23,297.71,46333,1154
2020-08-28,3508.01,1255.85,673.67,1251.823,272.48,420.73,664.07,2164.42,401.66,226.49,209.9,298.5,49909,1132
2020-08-31,3500.31,1259.89,671.53,1253.913,266.5,415.53,656.22,2172.2,395.69,224.57,209.04,299.46,36441,609
2020-09-01,3526.65,1247.56,672.24,1267.62,264.05,416.43,662.5,2212.54,406.58,224.23,211.21,296.06,44107,1094
2020-09-02,3580.84,1273.61,684.99,1283.282,262.95,422.68,673.29,2232.92,415.86,229.25,215.83,305.31,42666,1078
2020-09-03,3455.06,1238.68,672.07,1237.574,261.18,415.99,654.42,2102.78,404.32,225.49,208.61,301.47,46478,1077
2020-09-04,3426.96,1229.65,670.48,1220.144,260.32,419.21,655.8,2074.52,404.85,224.44,204.6,299.79,53520,1011
2020-09-08,3331.84,1209.04,656.61,1194.69,250.67,408.34,643.11,1979.28,396.46,221.56,199.68,298.01,28843,560
2020-09-09,3398.96,1230.48,666.37,1222.322,252.21,412.07,653.19,2045.52,406.7,224.28,201.51,301.76,37660,1082
2020-09-10,3339.19,1211.4,658.03,1200.679,242.96,406.25,644.91,1998.97,402.88,220.99,198.34,296.41,40599,977
2020-09-11,3340.97,1216.07,662.06,1196.888,243.58,409.33,653.85,1983.99,408.16,220.38,197.76,297.4,47385,1040
2020-09-14,3383.54,1232.48,665.15,1205.241,245.09,414.7,662.43,2025.09,413.76,225.13,198.02,301.28,35852,546
2020-09-15,3401.2,1234.48,664.47,1217.637,243.22,409.04,662.95,2045.28,415.72,228.26,201.42,303.49,40612,1105
2020-09-16,3385.49,1231.71,661.08,1205.257,253.06,413.56,669.49,2013.4,416.01,229.49,198.99,302.84,41730,947
2020-09-17,3357.01,1227.91,656.76,1186.126,253.58,409.42,671.06,1996.42,419.18,224.47,195.34,300.35,47637,824
2020-09-18,3319.47,1226.34,650.71,1168.997,250.65,408.43,663.78,1963.28,411.95,220.08,193.19,294.96,49907,838
2020-09-21,3281.06,1203.72,646.37,1156.13,242.45,398.24,641.33,1978.14,397.92,214.06,190.89,293.25,35441,441
2020-09-22,3315.57,1201.45,650.53,1190.318,239.96,394.88,647.93,2010.71,398.76,216.76,194.47,295.14,38676,906
2020-09-23,3236.92,1188.52,640.35,1163.661,229.05,386.22,636.51,1946.14,387.07,210.45,189.25,290.39,43725,978
2020-09-24,3246.59,1182.29,645.24,1165.134,229.24,386.97,637.05,1958.18,389.79,211.23,190,293.78,46029,846
2020-09-25,3298.46,1201.81,647.9,1183.405,229.09,391.1,646.54,2005.16,392.92,215.36,192.42,298.51,51421,866
2020-09-28,3351.6,1211.66,655.3,1209.205,234.42,399.97,658.23,2042.32,399.24,219.02,194.71,299.29,37416,448
2020-09-29,3335.47,1210.72,651.25,1199.705,228.03,395.37,652.39,2036.1,396.35,217.76,195.26,299.06,45435,903
2020-09-30,3363,1231.02,659.14,1207.693,227.49,400.28,650.68,2054.56,400.01,218.95,195.49,301.86,43285,867
